hiperparametry,wynik_zbior_1,wynik_zbior_2,wynik_zbior_3,wynik_zbior_4,model,mean_result
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 33, 'classifier__max_leaf_nodes': 40, 'classifier__max_depth': 7, 'classifier__ccp_alpha': 10.0}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 15, 'classifier__max_leaf_nodes': 260, 'classifier__max_depth': 39, 'classifier__ccp_alpha': 23.10129700083158}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 17, 'classifier__max_leaf_nodes': 40, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.1519911082952933}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 10, 'classifier__max_leaf_nodes': 270, 'classifier__max_depth': 57, 'classifier__ccp_alpha': 0.8111308307896873}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 13, 'classifier__max_leaf_nodes': None, 'classifier__max_depth': 67, 'classifier__ccp_alpha': 3.7649358067924674}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 90, 'classifier__max_depth': 93, 'classifier__ccp_alpha': 0.02848035868435802}",0.7,0.7538870044882996,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.786292481020289
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 280, 'classifier__max_depth': 69, 'classifier__ccp_alpha': 0.08697490026177834}",0.7,0.743331448932744,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7836535921314002
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 20, 'classifier__max_leaf_nodes': 150, 'classifier__max_depth': 95, 'classifier__ccp_alpha': 0.0013219411484660286}",0.705,0.8393796895878302,0.8967024397398914,0.8038585209003214,DecisionTreeClassifier,0.8112351625570108
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 28, 'classifier__max_leaf_nodes': 140, 'classifier__max_depth': 31, 'classifier__ccp_alpha': 0.002009233002565048}",0.721,0.8240211395484291,0.8878558157727474,0.8029398254478639,DecisionTreeClassifier,0.8089541951922601
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 31, 'classifier__max_leaf_nodes': 80, 'classifier__max_depth': 67, 'classifier__ccp_alpha': 0.9326033468832199}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 33, 'classifier__max_leaf_nodes': 110, 'classifier__max_depth': 9, 'classifier__ccp_alpha': 0.003511191734215131}",0.728,0.805331825812862,0.8891832494010657,0.8048690858980247,DecisionTreeClassifier,0.8068460402779881
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 28, 'classifier__max_leaf_nodes': 240, 'classifier__max_depth': 47, 'classifier__ccp_alpha': 215.44346900318865}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 170, 'classifier__max_depth': 43, 'classifier__ccp_alpha': 0.11497569953977356}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 14, 'classifier__max_leaf_nodes': 40, 'classifier__max_depth': 41, 'classifier__ccp_alpha': 572.236765935022}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 16, 'classifier__max_leaf_nodes': 80, 'classifier__max_depth': 57, 'classifier__ccp_alpha': 0.004641588833612782}",0.705,0.788858053242882,0.8891832494010657,0.8048690858980247,DecisionTreeClassifier,0.7969775971354931
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 17, 'classifier__max_leaf_nodes': 90, 'classifier__max_depth': 71, 'classifier__ccp_alpha': 247.7076355991714}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 27, 'classifier__max_leaf_nodes': 170, 'classifier__max_depth': 99, 'classifier__ccp_alpha': 0.004037017258596553}",0.716,0.801072737862747,0.8891832494010657,0.8048690858980247,DecisionTreeClassifier,0.8027812682904594
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 38, 'classifier__max_leaf_nodes': 210, 'classifier__max_depth': 53, 'classifier__ccp_alpha': 40.37017258596558}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 14, 'classifier__max_leaf_nodes': 320, 'classifier__max_depth': 7, 'classifier__ccp_alpha': 0.010722672220103232}",0.6970000000000001,0.7538870044882996,0.8891832494010657,0.8065227377124483,DecisionTreeClassifier,0.7866482479004534
"{'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 15, 'classifier__max_leaf_nodes': 60, 'classifier__max_depth': 85, 'classifier__ccp_alpha': 35.111917342151344}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 220, 'classifier__max_depth': 79, 'classifier__ccp_alpha': 141.74741629268047}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 44, 'classifier__max_leaf_nodes': 280, 'classifier__max_depth': 89, 'classifier__ccp_alpha': 0.0026560877829466868}",0.735,0.8066269229451468,0.8891832494010657,0.8029398254478639,DecisionTreeClassifier,0.8084374994485191
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 11, 'classifier__max_leaf_nodes': 220, 'classifier__max_depth': 47, 'classifier__ccp_alpha': 40.37017258596558}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 49, 'classifier__max_leaf_nodes': 100, 'classifier__max_depth': 29, 'classifier__ccp_alpha': 497.7023564332114}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 38, 'classifier__max_leaf_nodes': 220, 'classifier__max_depth': 43, 'classifier__ccp_alpha': 1.629750834620645}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 280, 'classifier__max_depth': 63, 'classifier__ccp_alpha': 1.873817422860385}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 28, 'classifier__max_leaf_nodes': 320, 'classifier__max_depth': 13, 'classifier__ccp_alpha': 0.0011497569953977356}",0.72,0.834569328810772,0.8984730846330612,0.8074414331649058,DecisionTreeClassifier,0.8151209616521846
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 26, 'classifier__max_leaf_nodes': 90, 'classifier__max_depth': 67, 'classifier__ccp_alpha': 0.037649358067924674}",0.7,0.7538870044882996,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.786292481020289
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 24, 'classifier__max_leaf_nodes': 190, 'classifier__max_depth': None, 'classifier__ccp_alpha': 1.072267222010323}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 8, 'classifier__max_leaf_nodes': 180, 'classifier__max_depth': 19, 'classifier__ccp_alpha': 53.366992312063125}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 26, 'classifier__max_leaf_nodes': 260, 'classifier__max_depth': 31, 'classifier__ccp_alpha': 0.016297508346206444}",0.7,0.7538870044882996,0.8858646653302694,0.8065227377124483,DecisionTreeClassifier,0.7865686018827542
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 18, 'classifier__max_leaf_nodes': 170, 'classifier__max_depth': 35, 'classifier__ccp_alpha': 0.037649358067924674}",0.7,0.7538870044882996,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.786292481020289
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 28, 'classifier__max_leaf_nodes': None, 'classifier__max_depth': 27, 'classifier__ccp_alpha': 0.30538555088334157}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 38, 'classifier__max_leaf_nodes': 240, 'classifier__max_depth': 23, 'classifier__ccp_alpha': 0.0013219411484660286}",0.721,0.8251336211326962,0.8931640835085318,0.8038585209003214,DecisionTreeClassifier,0.8107890563853873
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 10, 'classifier__max_leaf_nodes': 90, 'classifier__max_depth': 79, 'classifier__ccp_alpha': 11.497569953977356}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 12, 'classifier__max_leaf_nodes': 140, 'classifier__max_depth': 27, 'classifier__ccp_alpha': 0.001747528400007683}",0.6769999999999999,0.8430823654366669,0.8925003666943725,0.8029398254478639,DecisionTreeClassifier,0.8038806393947258
"{'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 7, 'classifier__max_leaf_nodes': 220, 'classifier__max_depth': 11, 'classifier__ccp_alpha': 0.4641588833612782}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 49, 'classifier__max_leaf_nodes': 280, 'classifier__max_depth': 23, 'classifier__ccp_alpha': 15.199110829529332}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 7, 'classifier__min_samples_leaf': 41, 'classifier__max_leaf_nodes': 230, 'classifier__max_depth': 67, 'classifier__ccp_alpha': 0.0023101297000831605}",0.725,0.8127323808544901,0.8885195325869064,0.8029398254478639,DecisionTreeClassifier,0.807297934722315
"{'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 40, 'classifier__max_leaf_nodes': 320, 'classifier__max_depth': 83, 'classifier__ccp_alpha': 0.30538555088334157}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 9, 'classifier__min_samples_leaf': 18, 'classifier__max_leaf_nodes': 230, 'classifier__max_depth': 77, 'classifier__ccp_alpha': 2.4770763559917115}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 47, 'classifier__max_leaf_nodes': 160, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.3511191734215131}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 30, 'classifier__max_leaf_nodes': 150, 'classifier__max_depth': 61, 'classifier__ccp_alpha': 0.40370172585965536}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 17, 'classifier__max_leaf_nodes': 260, 'classifier__max_depth': 15, 'classifier__ccp_alpha': 0.005336699231206312}",0.713,0.7877479699866379,0.8891832494010657,0.8048690858980247,DecisionTreeClassifier,0.798700076321432
"{'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 40, 'classifier__max_leaf_nodes': 190, 'classifier__max_depth': 21, 'classifier__ccp_alpha': 0.04328761281083059}",0.7,0.7538870044882996,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.786292481020289
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 120, 'classifier__max_depth': 71, 'classifier__ccp_alpha': 70.54802310718645}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 3, 'classifier__min_samples_leaf': 46, 'classifier__max_leaf_nodes': 190, 'classifier__max_depth': None, 'classifier__ccp_alpha': 46.41588833612782}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 16, 'classifier__max_leaf_nodes': 280, 'classifier__max_depth': 77, 'classifier__ccp_alpha': 0.010722672220103232}",0.6970000000000001,0.7538870044882996,0.8891832494010657,0.8065227377124483,DecisionTreeClassifier,0.7866482479004534
"{'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 37, 'classifier__max_leaf_nodes': 130, 'classifier__max_depth': 7, 'classifier__ccp_alpha': 17.47528400007683}",0.7,0.706513687600644,0.8847601818804087,0.8065227377124483,DecisionTreeClassifier,0.7744491517983753
"{'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 6, 'classifier__max_leaf_nodes': 250, 'classifier__max_depth': None, 'classifier__ccp_alpha': 0.0011497569953977356}",0.703,0.8514086750950767,0.902232435339559,0.8074414331649058,DecisionTreeClassifier,0.8160206358998854
