hiperparametry,wynik_zbior_1,wynik_zbior_2,wynik_zbior_3,wynik_zbior_4,model,mean_result
"{'classifier__l1_ratio': 0.3132832080200501, 'classifier__C': 0.0006052779976193349}",0.7,0.706513687600644,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7426988489540779
"{'classifier__l1_ratio': 0.07518796992481203, 'classifier__C': 0.0025322627816987946}",0.7,0.7263122280467331,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7476714514519116
"{'classifier__l1_ratio': 0.3258145363408521, 'classifier__C': 0.0007624397210419138}",0.7,0.706513687600644,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7426988489540779
"{'classifier__l1_ratio': 0.7669172932330827, 'classifier__C': 98.85245709128282}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.12280701754385964, 'classifier__C': 2179.4447537529836}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.8270676691729323, 'classifier__C': 285.85141796844715}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.5087719298245614, 'classifier__C': 0.020219220618983534}",0.7,0.7438945420906568,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7520670299628924
"{'classifier__l1_ratio': 0.2832080200501253, 'classifier__C': 4777.470290335773}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.08020050125313283, 'classifier__C': 0.19418717841282548}",0.7,0.7492616575872821,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7534088088370487
"{'classifier__l1_ratio': 0.5964912280701754, 'classifier__C': 5239.601353002634}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.14285714285714285, 'classifier__C': 90.13370389517421}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.0, 'classifier__C': 0.3706144138266228}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.047619047619047616, 'classifier__C': 2875.058040944877}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.15538847117794485, 'classifier__C': 0.0060878108859147625}",0.7,0.7368623017096653,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7503089698676446
"{'classifier__l1_ratio': 0.040100250626566414, 'classifier__C': 2081.1133700903906}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.6416040100250626, 'classifier__C': 328.315001256304}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.531328320802005, 'classifier__C': 1.4137608138073614}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.8045112781954886, 'classifier__C': 0.46684523707037895}",0.7,0.749631856648508,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535013586023553
"{'classifier__l1_ratio': 0.7694235588972431, 'classifier__C': 0.018435892216414878}",0.7,0.7418587042176312,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7515580704946361
"{'classifier__l1_ratio': 0.24561403508771928, 'classifier__C': 7938.699688838224}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.5714285714285714, 'classifier__C': 118.90167424419899}",0.7,0.7498168705245487,0.8845389429423557,0.6798346348185575,LogisticRegression,0.7535476120713656
"{'classifier__l1_ratio': 0.6390977443609023, 'classifier__C': 0.0031897702154663216}",0.7,0.7146544694555795,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7447340444178118
"{'classifier__l1_ratio': 0.6215538847117794, 'classifier__C': 0.00020931579669325738}",0.7,0.706513687600644,0.8845389429423557,0.6788240698208543,LogisticRegression,0.7424691750909636
"{'classifier__l1_ratio': 0.3208020050125313, 'classifier__C': 0.0015239032437388289}",0.7,0.7104005207797992,0.8845389429423557,0.6797427652733119,LogisticRegression,0.7436705572488667
