,hiperparametry_zbior_1,wynik_zbior_1,hiperparametry_zbior_2,wynik_zbior_2,hiperparametry_zbior_3,wynik_zbior_3,hiperparametry_zbior_4,wynik_zbior_4,model
0,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.007149428986597577), ('classifier__max_depth', 8), ('classifier__max_leaf_nodes', 7), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 3), ('classifier__warm_start', True)])",0.701,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 1.096985797892384), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 9), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 59.411339849650396), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 28), ('classifier__min_samples_leaf', 9), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.9221978823334331), ('classifier__max_depth', 12), ('classifier__max_leaf_nodes', 47), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 8), ('classifier__warm_start', True)])",0.8065227377124483,RandomForestClassifier
1,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.1084365968689611), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 39), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 9), ('classifier__warm_start', True)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.04824108704165371), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 16), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.025529080682395178), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 34), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 2), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.006368249944718587), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 4), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
2,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.517092024289676), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 35), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 3), ('classifier__warm_start', True)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.0017834308769319094), ('classifier__max_depth', 2), ('classifier__max_leaf_nodes', 34), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.7788697022647069,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.06442363508721373), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 34), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.34489622604057596), ('classifier__max_depth', 5), ('classifier__max_leaf_nodes', 4), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8065227377124483,RandomForestClassifier
3,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.038274944785163134), ('classifier__max_depth', 11), ('classifier__max_leaf_nodes', 8), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 8), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 5.2310993080562636), ('classifier__max_depth', 8), ('classifier__max_leaf_nodes', 5), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 9), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.12898902612533095), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 31), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.027049597304631356), ('classifier__max_depth', 3), ('classifier__max_leaf_nodes', 24), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 7), ('classifier__warm_start', True)])",0.8065227377124483,RandomForestClassifier
4,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 3.489101213406774), ('classifier__max_depth', 3), ('classifier__max_leaf_nodes', 9), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 7), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.09658832241158703), ('classifier__max_depth', 3), ('classifier__max_leaf_nodes', 21), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 5), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.006368249944718587), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 20.97046401323235), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 16), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 7), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
5,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 3.489101213406774), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 31), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 5), ('classifier__warm_start', True)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.004500557675700498), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8269799910919244,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.5478901179593945), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 7), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.002833096101839324), ('classifier__max_depth', 1), ('classifier__max_leaf_nodes', 13), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 8), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
6,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 2.072921779595372), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 4), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.41026581058271944), ('classifier__max_depth', 7), ('classifier__max_leaf_nodes', 37), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.008026433522257174), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 32), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 6), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.10234114021054538), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 29), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 35), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.745,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.0031806256927941192), ('classifier__max_depth', 6), ('classifier__max_leaf_nodes', 49), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8304969678281425,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 16.638168860761308), ('classifier__max_depth', 16), ('classifier__max_leaf_nodes', 33), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.3072112998861759), ('classifier__max_depth', 12), ('classifier__max_leaf_nodes', 10), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 5), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
8,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.24374441501222216), ('classifier__max_depth', 11), ('classifier__max_leaf_nodes', 46), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 8), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 11.097524964120721), ('classifier__max_depth', 10), ('classifier__max_leaf_nodes', 17), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.6905513520162331), ('classifier__max_depth', 16), ('classifier__max_leaf_nodes', 2), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 8), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 47), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.810289389067524,RandomForestClassifier
9,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.012750512407130135), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 43), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 52.919787359584475), ('classifier__max_depth', 19), ('classifier__max_leaf_nodes', 22), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 7), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.06080224261649424), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 5), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 9), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 10.473708979594509), ('classifier__max_depth', 3), ('classifier__max_leaf_nodes', 43), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 7), ('classifier__warm_start', True)])",0.8065227377124483,RandomForestClassifier
