,hiperparametry_zbior_1,wynik_zbior_1,hiperparametry_zbior_2,wynik_zbior_2,hiperparametry_zbior_3,wynik_zbior_3,hiperparametry_zbior_4,wynik_zbior_4,model
0,"OrderedDict([('classifier__C', 0.5120037984840887), ('classifier__l1_ratio', 0.17293233082706766)])",0.7,"OrderedDict([('classifier__C', 6.486793534788508), ('classifier__l1_ratio', 0.6090225563909775)])",0.7498168705245487,"OrderedDict([('classifier__C', 272.95447924020016), ('classifier__l1_ratio', 0.9523809523809523)])",0.8845389429423557,"OrderedDict([('classifier__C', 789.3018264543567), ('classifier__l1_ratio', 0.593984962406015)])",0.6798346348185575,LogisticRegression
1,"OrderedDict([('classifier__C', 0.019306977288832496), ('classifier__l1_ratio', 0.40601503759398494)])",0.7,"OrderedDict([('classifier__C', 108.41458689358328), ('classifier__l1_ratio', 0.3383458646616541)])",0.7498168705245487,"OrderedDict([('classifier__C', 216.69036394111808), ('classifier__l1_ratio', 0.2807017543859649)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.1541593692842272), ('classifier__l1_ratio', 0.15789473684210525)])",0.6798346348185575,LogisticRegression
2,"OrderedDict([('classifier__C', 0.2682695795279725), ('classifier__l1_ratio', 0.5438596491228069)])",0.7,"OrderedDict([('classifier__C', 433.1032859169001), ('classifier__l1_ratio', 0.05263157894736842)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.005550868030059805), ('classifier__l1_ratio', 0.3634085213032581)])",0.8845389429423557,"OrderedDict([('classifier__C', 3621.5729951180674), ('classifier__l1_ratio', 0.506265664160401)])",0.6798346348185575,LogisticRegression
3,"OrderedDict([('classifier__C', 136.56466567946097), ('classifier__l1_ratio', 0.3182957393483709)])",0.7,"OrderedDict([('classifier__C', 74.93534597735741), ('classifier__l1_ratio', 0.744360902255639)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.046415888336127774), ('classifier__l1_ratio', 0.42355889724310775)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.7407543072847163), ('classifier__l1_ratio', 0.2882205513784461)])",0.6798346348185575,LogisticRegression
4,"OrderedDict([('classifier__C', 0.22303392502884964), ('classifier__l1_ratio', 0.7092731829573935)])",0.7,"OrderedDict([('classifier__C', 172.0239724793599), ('classifier__l1_ratio', 0.39849624060150374)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.9771808272983898), ('classifier__l1_ratio', 0.16040100250626566)])",0.8845389429423557,"OrderedDict([('classifier__C', 3.2454744574113255), ('classifier__l1_ratio', 0.8671679197994987)])",0.6798346348185575,LogisticRegression
5,"OrderedDict([('classifier__C', 0.0017502809639301012), ('classifier__l1_ratio', 0.706766917293233)])",0.7,"OrderedDict([('classifier__C', 789.3018264543567), ('classifier__l1_ratio', 0.12781954887218044)])",0.7498168705245487,"OrderedDict([('classifier__C', 9.38493086494272), ('classifier__l1_ratio', 0.5463659147869674)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.0008361915304916318), ('classifier__l1_ratio', 0.08771929824561403)])",0.6797427652733119,LogisticRegression
6,"OrderedDict([('classifier__C', 9.38493086494272), ('classifier__l1_ratio', 0.6616541353383458)])",0.7,"OrderedDict([('classifier__C', 0.8507942799627445), ('classifier__l1_ratio', 0.5213032581453634)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.0025322627816987946), ('classifier__l1_ratio', 0.17794486215538846)])",0.8845389429423557,"OrderedDict([('classifier__C', 49.457890531206395), ('classifier__l1_ratio', 0.40100250626566414)])",0.6798346348185575,LogisticRegression
7,"OrderedDict([('classifier__C', 4.08816882439129), ('classifier__l1_ratio', 0.06766917293233082)])",0.7,"OrderedDict([('classifier__C', 0.06412354795576918), ('classifier__l1_ratio', 0.10275689223057644)])",0.7475961900846266,"OrderedDict([('classifier__C', 0.0003642533115449638), ('classifier__l1_ratio', 0.844611528822055)])",0.8845389429423557,"OrderedDict([('classifier__C', 216.69036394111808), ('classifier__l1_ratio', 0.49624060150375937)])",0.6798346348185575,LogisticRegression
8,"OrderedDict([('classifier__C', 3.9037203328860843), ('classifier__l1_ratio', 0.47619047619047616)])",0.7,"OrderedDict([('classifier__C', 0.005813143282224713), ('classifier__l1_ratio', 0.8095238095238095)])",0.7287189502175625,"OrderedDict([('classifier__C', 0.00017402093740624848), ('classifier__l1_ratio', 0.5664160401002506)])",0.8845389429423557,"OrderedDict([('classifier__C', 1438.44988828766), ('classifier__l1_ratio', 0.06516290726817042)])",0.6798346348185575,LogisticRegression
9,"OrderedDict([('classifier__C', 1195.8982643749769), ('classifier__l1_ratio', 0.22055137844611528)])",0.7,"OrderedDict([('classifier__C', 0.0013894954943731374), ('classifier__l1_ratio', 0.9448621553884711)])",0.706513687600644,"OrderedDict([('classifier__C', 0.00026366508987303583), ('classifier__l1_ratio', 0.3583959899749373)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.002651910709918538), ('classifier__l1_ratio', 0.8045112781954886)])",0.6797427652733119,LogisticRegression
10,"OrderedDict([('classifier__C', 5239.601353002634), ('classifier__l1_ratio', 0.8145363408521302)])",0.7,"OrderedDict([('classifier__C', 6.486793534788508), ('classifier__l1_ratio', 0.5213032581453634)])",0.7498168705245487,"OrderedDict([('classifier__C', 8313.798583547334), ('classifier__l1_ratio', 0.7568922305764411)])",0.8845389429423557,"OrderedDict([('classifier__C', 21.54434690031882), ('classifier__l1_ratio', 0.5664160401002506)])",0.6798346348185575,LogisticRegression
11,"OrderedDict([('classifier__C', 299.357729472049), ('classifier__l1_ratio', 0.6867167919799498)])",0.7,"OrderedDict([('classifier__C', 1897.5598765218504), ('classifier__l1_ratio', 0.045112781954887216)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.04432171342476086), ('classifier__l1_ratio', 0.3634085213032581)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.1614433088831602), ('classifier__l1_ratio', 0.6766917293233082)])",0.6798346348185575,LogisticRegression
12,"OrderedDict([('classifier__C', 1252.4037545350718), ('classifier__l1_ratio', 0.8145363408521302)])",0.7,"OrderedDict([('classifier__C', 0.015327229459526134), ('classifier__l1_ratio', 0.18796992481203006)])",0.7433396717716791,"OrderedDict([('classifier__C', 14.891290324394086), ('classifier__l1_ratio', 0.7819548872180451)])",0.8845389429423557,"OrderedDict([('classifier__C', 9.38493086494272), ('classifier__l1_ratio', 0.12531328320802004)])",0.6798346348185575,LogisticRegression
13,"OrderedDict([('classifier__C', 0.2561658916945727), ('classifier__l1_ratio', 0.13533834586466165)])",0.7,"OrderedDict([('classifier__C', 54.24201813838024), ('classifier__l1_ratio', 0.7994987468671679)])",0.7498168705245487,"OrderedDict([('classifier__C', 1.1223422532664173), ('classifier__l1_ratio', 0.39097744360902253)])",0.8845389429423557,"OrderedDict([('classifier__C', 1041.2232560483044), ('classifier__l1_ratio', 0.40100250626566414)])",0.6798346348185575,LogisticRegression
14,"OrderedDict([('classifier__C', 0.030634834526960843), ('classifier__l1_ratio', 0.9398496240601504)])",0.7,"OrderedDict([('classifier__C', 0.0015959067764047309), ('classifier__l1_ratio', 0.41353383458646614)])",0.7052182478500703,"OrderedDict([('classifier__C', 0.03684817982911676), ('classifier__l1_ratio', 0.593984962406015)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.0005269925931575656), ('classifier__l1_ratio', 0.7844611528822054)])",0.6793752870923289,LogisticRegression
15,"OrderedDict([('classifier__C', 0.04432171342476086), ('classifier__l1_ratio', 0.8345864661654134)])",0.7,"OrderedDict([('classifier__C', 0.0003321262929793748), ('classifier__l1_ratio', 0.9624060150375939)])",0.706513687600644,"OrderedDict([('classifier__C', 0.016809852774253637), ('classifier__l1_ratio', 0.5614035087719298)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.0060878108859147625), ('classifier__l1_ratio', 0.40100250626566414)])",0.6798346348185575,LogisticRegression
16,"OrderedDict([('classifier__C', 34.184921461759274), ('classifier__l1_ratio', 0.11027568922305764)])",0.7,"OrderedDict([('classifier__C', 29.763514416313132), ('classifier__l1_ratio', 0.2506265664160401)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.000125965213346714), ('classifier__l1_ratio', 0.43609022556390975)])",0.8845389429423557,"OrderedDict([('classifier__C', 1090.4204429677527), ('classifier__l1_ratio', 0.9047619047619047)])",0.6798346348185575,LogisticRegression
17,"OrderedDict([('classifier__C', 0.004207849036297403), ('classifier__l1_ratio', 0.5363408521303258)])",0.7,"OrderedDict([('classifier__C', 0.00030283286655749455), ('classifier__l1_ratio', 0.8020050125313283)])",0.706513687600644,"OrderedDict([('classifier__C', 0.00013814999616383223), ('classifier__l1_ratio', 0.6190476190476191)])",0.8845389429423557,"OrderedDict([('classifier__C', 17.911536074332304), ('classifier__l1_ratio', 0.9298245614035088)])",0.6798346348185575,LogisticRegression
18,"OrderedDict([('classifier__C', 687.2151605431108), ('classifier__l1_ratio', 0.11779448621553884)])",0.7,"OrderedDict([('classifier__C', 0.006676692939187563), ('classifier__l1_ratio', 0.13533834586466165)])",0.7383427553362798,"OrderedDict([('classifier__C', 0.009659672580093832), ('classifier__l1_ratio', 0.24812030075187969)])",0.8845389429423557,"OrderedDict([('classifier__C', 3458.176201952377), ('classifier__l1_ratio', 0.44862155388471175)])",0.6798346348185575,LogisticRegression
19,"OrderedDict([('classifier__C', 108.41458689358328), ('classifier__l1_ratio', 0.48872180451127817)])",0.7,"OrderedDict([('classifier__C', 4159.562163071843), ('classifier__l1_ratio', 0.8220551378446115)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.08077336398796711), ('classifier__l1_ratio', 0.44360902255639095)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.07032630413380643), ('classifier__l1_ratio', 0.9172932330827067)])",0.6798346348185575,LogisticRegression
20,"OrderedDict([('classifier__C', 0.0003814640664431178), ('classifier__l1_ratio', 0.9674185463659147)])",0.7,"OrderedDict([('classifier__C', 0.06123044539605184), ('classifier__l1_ratio', 0.17042606516290726)])",0.7477813752698118,"OrderedDict([('classifier__C', 0.003663614544020716), ('classifier__l1_ratio', 0.47869674185463656)])",0.8845389429423557,"OrderedDict([('classifier__C', 2745.3422338387145), ('classifier__l1_ratio', 0.2857142857142857)])",0.6798346348185575,LogisticRegression
21,"OrderedDict([('classifier__C', 1897.5598765218504), ('classifier__l1_ratio', 0.48872180451127817)])",0.7,"OrderedDict([('classifier__C', 0.016051432043647614), ('classifier__l1_ratio', 0.23308270676691728)])",0.7438948847089458,"OrderedDict([('classifier__C', 0.004614879876576939), ('classifier__l1_ratio', 0.06516290726817042)])",0.8845389429423557,"OrderedDict([('classifier__C', 197.57834731786994), ('classifier__l1_ratio', 0.9448621553884711)])",0.6798346348185575,LogisticRegression
22,"OrderedDict([('classifier__C', 0.006676692939187563), ('classifier__l1_ratio', 0.5087719298245614)])",0.7,"OrderedDict([('classifier__C', 10.292747724096078), ('classifier__l1_ratio', 0.49624060150375937)])",0.7498168705245487,"OrderedDict([('classifier__C', 2282.4222375040977), ('classifier__l1_ratio', 0.48621553884711777)])",0.8845389429423557,"OrderedDict([('classifier__C', 8.557183144940002), ('classifier__l1_ratio', 0.17794486215538846)])",0.6798346348185575,LogisticRegression
23,"OrderedDict([('classifier__C', 0.011094628943275219), ('classifier__l1_ratio', 0.15288220551378445)])",0.7,"OrderedDict([('classifier__C', 4356.099030694599), ('classifier__l1_ratio', 0.2781954887218045)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.03684817982911676), ('classifier__l1_ratio', 0.5413533834586466)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.010116086432495808), ('classifier__l1_ratio', 0.03007518796992481)])",0.6798346348185575,LogisticRegression
24,"OrderedDict([('classifier__C', 0.6754200285605587), ('classifier__l1_ratio', 0.9448621553884711)])",0.7,"OrderedDict([('classifier__C', 0.001053310445370937), ('classifier__l1_ratio', 0.040100250626566414)])",0.7190963442628568,"OrderedDict([('classifier__C', 0.11158839925077481), ('classifier__l1_ratio', 0.3082706766917293)])",0.8845389429423557,"OrderedDict([('classifier__C', 1.7808468253246812), ('classifier__l1_ratio', 0.7192982456140351)])",0.6798346348185575,LogisticRegression
25,"OrderedDict([('classifier__C', 0.1541593692842272), ('classifier__l1_ratio', 0.48621553884711777)])",0.7,"OrderedDict([('classifier__C', 0.009223851039358476), ('classifier__l1_ratio', 0.12030075187969924)])",0.7420442320211054,"OrderedDict([('classifier__C', 0.30812135887140024), ('classifier__l1_ratio', 0.9248120300751879)])",0.8845389429423557,"OrderedDict([('classifier__C', 1141.9421680558648), ('classifier__l1_ratio', 0.38596491228070173)])",0.6798346348185575,LogisticRegression
26,"OrderedDict([('classifier__C', 8.557183144940002), ('classifier__l1_ratio', 0.5162907268170426)])",0.7,"OrderedDict([('classifier__C', 0.0009170774506742931), ('classifier__l1_ratio', 0.8646616541353382)])",0.706513687600644,"OrderedDict([('classifier__C', 71.55444070664575), ('classifier__l1_ratio', 0.38095238095238093)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.0007624397210419138), ('classifier__l1_ratio', 0.045112781954887216)])",0.6798346348185575,LogisticRegression
27,"OrderedDict([('classifier__C', 82.18394177456807), ('classifier__l1_ratio', 0.6265664160401002)])",0.7,"OrderedDict([('classifier__C', 0.07712906117627992), ('classifier__l1_ratio', 0.2531328320802005)])",0.7479662178367082,"OrderedDict([('classifier__C', 11.8217481864667), ('classifier__l1_ratio', 0.07268170426065163)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.016051432043647614), ('classifier__l1_ratio', 0.44110275689223055)])",0.6798346348185575,LogisticRegression
28,"OrderedDict([('classifier__C', 7.802442493165045), ('classifier__l1_ratio', 0.23558897243107768)])",0.7,"OrderedDict([('classifier__C', 2179.4447537529836), ('classifier__l1_ratio', 0.9824561403508771)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.07032630413380643), ('classifier__l1_ratio', 0.7719298245614035)])",0.8845389429423557,"OrderedDict([('classifier__C', 188.66408039732545), ('classifier__l1_ratio', 0.2506265664160401)])",0.6798346348185575,LogisticRegression
29,"OrderedDict([('classifier__C', 0.6449466771037621), ('classifier__l1_ratio', 0.6416040100250626)])",0.7,"OrderedDict([('classifier__C', 4.69547138249342), ('classifier__l1_ratio', 0.42105263157894735)])",0.7498168705245487,"OrderedDict([('classifier__C', 56.804921617284286), ('classifier__l1_ratio', 0.8571428571428571)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.3538931695490988), ('classifier__l1_ratio', 0.39348370927318294)])",0.6798346348185575,LogisticRegression
30,"OrderedDict([('classifier__C', 32.64257879767324), ('classifier__l1_ratio', 0.6541353383458646)])",0.7,"OrderedDict([('classifier__C', 45.095721356761445), ('classifier__l1_ratio', 0.5914786967418546)])",0.7498168705245487,"OrderedDict([('classifier__C', 0.004832930238571752), ('classifier__l1_ratio', 0.518796992481203)])",0.8845389429423557,"OrderedDict([('classifier__C', 3.2454744574113255), ('classifier__l1_ratio', 0.844611528822055)])",0.6798346348185575,LogisticRegression
31,"OrderedDict([('classifier__C', 0.21297116275234781), ('classifier__l1_ratio', 0.3408521303258145)])",0.7,"OrderedDict([('classifier__C', 0.7073332279644439), ('classifier__l1_ratio', 0.10776942355889724)])",0.7498168705245487,"OrderedDict([('classifier__C', 413.5626917817706), ('classifier__l1_ratio', 0.2932330827067669)])",0.8845389429423557,"OrderedDict([('classifier__C', 25.913963014396572), ('classifier__l1_ratio', 0.9649122807017543)])",0.6798346348185575,LogisticRegression
32,"OrderedDict([('classifier__C', 2179.4447537529836), ('classifier__l1_ratio', 0.06015037593984962)])",0.7,"OrderedDict([('classifier__C', 6600.075022827088), ('classifier__l1_ratio', 0.5639097744360901)])",0.7498168705245487,"OrderedDict([('classifier__C', 1.0233520470972575), ('classifier__l1_ratio', 0.010025062656641603)])",0.8845389429423557,"OrderedDict([('classifier__C', 413.5626917817706), ('classifier__l1_ratio', 0.08270676691729323)])",0.6798346348185575,LogisticRegression
33,"OrderedDict([('classifier__C', 1.1223422532664173), ('classifier__l1_ratio', 0.8070175438596491)])",0.7,"OrderedDict([('classifier__C', 0.00015867234973483178), ('classifier__l1_ratio', 0.7994987468671679)])",0.706513687600644,"OrderedDict([('classifier__C', 0.06715334791115142), ('classifier__l1_ratio', 0.7092731829573935)])",0.8845389429423557,"OrderedDict([('classifier__C', 0.5120037984840887), ('classifier__l1_ratio', 0.19047619047619047)])",0.6798346348185575,LogisticRegression
